DATE,THOUSANDS_OF_PERSONS
1939-01,1381
1939-02,1384
1939-03,1387
1939-04,1389
1939-05,1399
1939-06,1406
1939-07,1411
1939-08,1412
1939-09,1424
1939-10,1415
1939-11,1421
1939-12,1428
1940-01,1433
1940-02,1440
1940-03,1447
1940-04,1455
1940-05,1460
1940-06,1465
1940-07,1469
1940-08,1478
1940-09,1487
1940-10,1496
1940-11,1501
1940-12,1507
1941-01,1516
1941-02,1526
1941-03,1536
1941-04,1551
1941-05,1558
1941-06,1563
1941-07,1575
1941-08,1583
1941-09,1587
1941-10,1594
1941-11,1601
1941-12,1606
1942-01,1611
1942-02,1608
1942-03,1615
1942-04,1623
1942-05,1626
1942-06,1632
1942-07,1640
1942-08,1644
1942-09,1647
1942-10,1649
1942-11,1645
1942-12,1645
1943-01,1649
1943-02,1653
1943-03,1655
1943-04,1655
1943-05,1656
1943-06,1658
1943-07,1658
1943-08,1658
1943-09,1663
1943-10,1666
1943-11,1671
1943-12,1674
1944-01,1661
1944-02,1668
1944-03,1670
1944-04,1667
1944-05,1666
1944-06,1671
1944-07,1668
1944-08,1669
1944-09,1667
1944-10,1665
1944-11,1667
1944-12,1668
1945-01,1659
1945-02,1667
1945-03,1666
1945-04,1666
1945-05,1666
1945-06,1681
1945-07,1692
1945-08,1706
1945-09,1711
1945-10,1733
1945-11,1753
1945-12,1773
1946-01,1797
1946-02,1819
1946-03,1839
1946-04,1857
1946-05,1869
1946-06,1880
1946-07,1886
1946-08,1904
1946-09,1932
1946-10,1933
1946-11,1945
1946-12,1956
1947-01,1976
1947-02,1986
1947-03,1992
1947-04,1997
1947-05,2005
1947-06,2013
1947-07,2020
1947-08,2024
1947-09,2030
1947-10,2039
1947-11,2044
1947-12,2049
1948-01,2047
1948-02,2051
1948-03,2058
1948-04,2069
1948-05,2074
1948-06,2082
1948-07,2084
1948-08,2088
1948-09,2090
1948-10,2087
1948-11,2088
1948-12,2096
1949-01,2080
1949-02,2088
1949-03,2083
1949-04,2092
1949-05,2097
1949-06,2095
1949-07,2098
1949-08,2098
1949-09,2104
1949-10,2106
1949-11,2109
1949-12,2113
1950-01,2105
1950-02,2114
1950-03,2113
1950-04,2127
1950-05,2135
1950-06,2143
1950-07,2150
1950-08,2159
1950-09,2161
1950-10,2166
1950-11,2171
1950-12,2178
1951-01,2187
1951-02,2195
1951-03,2204
1951-04,2208
1951-05,2212
1951-06,2219
1951-07,2226
1951-08,2235
1951-09,2233
1951-10,2238
1951-11,2244
1951-12,2248
1952-01,2257
1952-02,2267
1952-03,2266
1952-04,2270
1952-05,2277
1952-06,2277
1952-07,2280
1952-08,2286
1952-09,2289
1952-10,2292
1952-11,2297
1952-12,2306
1953-01,2300
1953-02,2309
1953-03,2316
1953-04,2322
1953-05,2327
1953-06,2335
1953-07,2339
1953-08,2344
1953-09,2355
1953-10,2354
1953-11,2356
1953-12,2357
1954-01,2354
1954-02,2358
1954-03,2360
1954-04,2366
1954-05,2372
1954-06,2380
1954-07,2393
1954-08,2397
1954-09,2411
1954-10,2404
1954-11,2409
1954-12,2417
1955-01,2428
1955-02,2435
1955-03,2444
1955-04,2458
1955-05,2467
1955-06,2478
1955-07,2496
1955-08,2509
1955-09,2525
1955-10,2541
1955-11,2554
1955-12,2563
1956-01,2572
1956-02,2583
1956-03,2591
1956-04,2592
1956-05,2591
1956-06,2592
1956-07,2578
1956-08,2579
1956-09,2595
1956-10,2607
1956-11,2617
1956-12,2625
1957-01,2639
1957-02,2652
1957-03,2656
1957-04,2662
1957-05,2675
1957-06,2680
1957-07,2686
1957-08,2685
1957-09,2696
1957-10,2695
1957-11,2696
1957-12,2690
1958-01,2681
1958-02,2676
1958-03,2676
1958-04,2676
1958-05,2678
1958-06,2681
1958-07,2689
1958-08,2698
1958-09,2708
1958-10,2720
1958-11,2724
1958-12,2741
1959-01,2765
1959-02,2778
1959-03,2789
1959-04,2804
1959-05,2814
1959-06,2822
1959-07,2824
1959-08,2827
1959-09,2842
1959-10,2854
1959-11,2865
1959-12,2880
1960-01,2893
1960-02,2907
1960-03,2907
1960-04,2919
1960-05,2928
1960-06,2938
1960-07,2947
1960-08,2949
1960-09,2948
1960-10,2960
1960-11,2968
1960-12,2972
1961-01,2980
1961-02,2985
1961-03,2995
1961-04,2999
1961-05,3003
1961-06,3016
1961-07,3029
1961-08,3043
1961-09,3059
1961-10,3069
1961-11,3082
1961-12,3097
1962-01,3108
1962-02,3121
1962-03,3132
1962-04,3146
1962-05,3161
1962-06,3173
1962-07,3183
1962-08,3194
1962-09,3202
1962-10,3209
1962-11,3215
1962-12,3223
1963-01,3228
1963-02,3234
1963-03,3249
1963-04,3259
1963-05,3266
1963-06,3280
1963-07,3289
1963-08,3303
1963-09,3315
1963-10,3337
1963-11,3342
1963-12,3352
1964-01,3371
1964-02,3384
1964-03,3388
1964-04,3406
1964-05,3421
1964-06,3433
1964-07,3450
1964-08,3457
1964-09,3477
1964-10,3484
1964-11,3490
1964-12,3499
1965-01,3511
