DATE,Gasoline % Change
1940-10,-1.57480
1940-11,0.00000
1940-12,-0.80000
1941-01,0.80645
1941-02,0.00000
1941-03,0.80000
1941-04,1.58730
1941-05,2.34375
1941-06,3.81679
1941-07,0.73529
1941-08,0.00000
1941-09,1.45985
1941-10,0.00000
1941-11,-0.71942
1941-12,0.00000
1942-01,0.72464
1942-02,0.00000
1942-03,0.00000
1942-04,1.43885
1942-05,0.00000
1942-06,1.41844
1942-07,2.09790
1942-08,-4.10959
1942-09,0.71429
1942-10,0.00000
1942-11,0.00000
1942-12,0.70922
1943-01,0.00000
1943-02,0.00000
1943-03,0.00000
1943-04,0.00000
1943-05,0.00000
1943-06,0.00000
1943-07,0.70423
1943-08,0.00000
1943-09,0.00000
1943-10,0.00000
1943-11,0.00000
1943-12,0.00000
1944-01,0.00000
1944-02,0.00000
1944-03,0.00000
1944-04,0.00000
1944-05,0.00000
1944-06,0.00000
1944-07,0.00000
1944-08,0.00000
1944-09,0.00000
1944-10,0.00000
1944-11,0.00000
1944-12,0.00000
1945-01,0.00000
1945-02,0.00000
1945-03,0.00000
1945-04,0.00000
1945-05,0.00000
1945-06,0.00000
1945-07,0.00000
1945-08,0.00000
1945-09,0.00000
1945-10,-1.39860
1945-11,0.00000
1945-12,0.00000
1946-01,0.00000
1946-02,0.00000
1946-03,0.00000
1946-04,0.00000
1946-05,0.00000
1946-06,0.00000
1946-07,0.00000
1946-08,5.67376
1946-09,1.34228
1946-10,0.00000
1946-11,0.00000
1946-12,0.66225
1947-01,0.00000
1947-02,1.31579
1947-03,1.94805
1947-04,.
1947-05,.
1947-06,.
1947-07,.
1947-08,.
1947-09,.
1947-10,.
1947-11,.
1947-12,2.31214
1948-01,.
1948-02,.
1948-03,.
1948-04,.
1948-05,.
1948-06,.
1948-07,.
1948-08,.
1948-09,.
1948-10,.
1948-11,.
1948-12,.
1949-01,.
1949-02,.
1949-03,.
1949-04,.
1949-05,.
1949-06,.
1949-07,.
1949-08,.
1949-09,.
1949-10,.
1949-11,.
1949-12,.
1950-01,.
1950-02,.
1950-03,.
1950-04,.
1950-05,.
1950-06,.
1950-07,.
1950-08,.
