DATE,Gas Price (Dollars)
1990-09,1.258
1990-10,1.335
1990-11,1.324
1990-12,1.341
1991-01,1.180
1991-02,1.094
1991-03,1.040
1991-04,1.076
1991-05,1.126
1991-06,1.128
1991-07,1.096
1991-08,1.115
1991-09,1.109
1991-10,1.088
1991-11,1.099
1991-12,1.076
1992-01,1.022
1992-02,1.006
1992-03,1.013
1992-04,1.052
1992-05,1.107
1992-06,1.145
1992-07,1.137
1992-08,1.122
1992-09,1.122
1992-10,1.114
1992-11,1.111
1992-12,1.078
1993-01,1.062
1993-02,1.054
1993-03,1.052
1993-04,1.078
1993-05,1.100
1993-06,1.097
1993-07,1.078
1993-08,1.062
1993-09,1.050
1993-10,1.092
1993-11,1.066
1993-12,1.014
1994-01,0.998
1994-02,1.009
1994-03,1.008
1994-04,1.027
1994-05,1.047
1994-06,1.078
1994-07,1.106
1994-08,1.155
1994-09,1.144
1994-10,1.114
1994-11,1.116
1994-12,1.091
1995-01,1.082
1995-02,1.073
1995-03,1.072
1995-04,1.111
1995-05,1.178
1995-06,1.192
1995-07,1.154
1995-08,1.123
1995-09,1.111
1995-10,1.087
1995-11,1.062
1995-12,1.071
1996-01,1.090
1996-02,1.089
1996-03,1.137
1996-04,1.231
1996-05,1.278
1996-06,1.259
1996-07,1.228
1996-08,1.206
1996-09,1.202
1996-10,1.204
1996-11,1.232
1996-12,1.235
1997-01,1.236
1997-02,1.230
1997-03,1.205
1997-04,1.199
1997-05,1.200
1997-06,1.198
1997-07,1.174
1997-08,1.224
1997-09,1.231
1997-10,1.197
1997-11,1.171
1997-12,1.131
1998-01,1.086
1998-02,1.049
1998-03,1.017
1998-04,1.030
1998-05,1.064
1998-06,1.064
1998-07,1.055
1998-08,1.026
1998-09,1.009
1998-10,1.019
1998-11,0.995
1998-12,0.945
1999-01,0.939
1999-02,0.921
1999-03,0.982
1999-04,1.131
1999-05,1.131
1999-06,1.114
1999-07,1.158
1999-08,1.221
1999-09,1.256
1999-10,1.244
1999-11,1.251
1999-12,1.273
2000-01,1.289
2000-02,1.377
2000-03,1.516
2000-04,1.465
2000-05,1.487
2000-06,1.633
2000-07,1.551
2000-08,1.465
2000-09,1.550
2000-10,1.532
2000-11,1.517
2000-12,1.443
2001-01,1.447
2001-02,1.450
2001-03,1.409
2001-04,1.552
2001-05,1.702
2001-06,1.616
2001-07,1.421
2001-08,1.421
2001-09,1.522
2001-10,1.315
2001-11,1.171
2001-12,1.086
2002-01,1.107
2002-02,1.114
2002-03,1.249
2002-04,1.397
2002-05,1.392
2002-06,1.382
2002-07,1.397
2002-08,1.396
2002-09,1.400
2002-10,1.445
2002-11,1.419
2002-12,1.386
2003-01,1.458
2003-02,1.613
2003-03,1.693
2003-04,1.589
2003-05,1.497
2003-06,1.493
2003-07,1.513
2003-08,1.620
2003-09,1.679
2003-10,1.564
2003-11,1.512
2003-12,1.479
2004-01,1.572
2004-02,1.648
2004-03,1.736
2004-04,1.798
2004-05,1.983
2004-06,1.969
2004-07,1.911
2004-08,1.878
2004-09,1.870
2004-10,2.000
2004-11,1.979
2004-12,1.841
2005-01,1.831
2005-02,1.910
2005-03,2.079
2005-04,2.243
2005-05,2.161
2005-06,2.156
2005-07,2.290
2005-08,2.486
2005-09,2.903
2005-10,2.717
2005-11,2.257
2005-12,2.185
2006-01,2.316
2006-02,2.280
2006-03,2.425
2006-04,2.742
2006-05,2.907
2006-06,2.885
2006-07,2.981
2006-08,2.952
2006-09,2.555
2006-10,2.245
2006-11,2.229
2006-12,2.313
2007-01,2.240
2007-02,2.278
2007-03,2.563
2007-04,2.845
2007-05,3.146
2007-06,3.056
2007-07,2.965
2007-08,2.786
2007-09,2.803
2007-10,2.803
2007-11,3.080
2007-12,3.018
2008-01,3.043
2008-02,3.028
2008-03,3.244
2008-04,3.458
2008-05,3.766
2008-06,4.054
2008-07,4.062
2008-08,3.779
2008-09,3.703
2008-10,3.051
2008-11,2.147
2008-12,1.687
2009-01,1.788
2009-02,1.923
2009-03,1.959
2009-04,2.049
2009-05,2.266
2009-06,2.631
2009-07,2.527
2009-08,2.616
2009-09,2.554
2009-10,2.551
2009-11,2.651
2009-12,2.607
2010-01,2.715
2010-02,2.644
2010-03,2.772
2010-04,2.848
2010-05,2.836
2010-06,2.732
2010-07,2.729
2010-08,2.730
2010-09,2.705
2010-10,2.801
2010-11,2.859
2010-12,2.993
2011-01,3.095
2011-02,3.211
2011-03,3.561
2011-04,3.800
2011-05,3.906
2011-06,3.680
2011-07,3.650
2011-08,3.639
2011-09,3.611
2011-10,3.448
2011-11,3.384
2011-12,3.266
2012-01,3.380
2012-02,3.579
2012-03,3.852
2012-04,3.900
2012-05,3.732
2012-06,3.539
2012-07,3.439
2012-08,3.722
2012-09,3.849
2012-10,3.746
2012-11,3.452
2012-12,3.310
2013-01,3.319
2013-02,3.670
2013-03,3.711
2013-04,3.570
2013-05,3.615
2013-06,3.626
2013-07,3.591
2013-08,3.574
2013-09,3.532
2013-10,3.344
2013-11,3.243
2013-12,3.276
2014-01,3.313
2014-02,3.356
2014-03,3.533
2014-04,3.661
2014-05,3.673
2014-06,3.692
2014-07,3.611
2014-08,3.487
2014-09,3.406
2014-10,3.171
2014-11,2.912
2014-12,2.543
2015-01,2.116
2015-02,2.216
2015-03,2.464
2015-04,2.469
2015-05,2.718
2015-06,2.802
2015-07,2.794
2015-08,2.636
2015-09,2.365
2015-10,2.290
2015-11,2.158
2015-12,2.038
2016-01,1.949
2016-02,1.764
2016-03,1.969
2016-04,2.113
2016-05,2.268
2016-06,2.366
2016-07,2.239
2016-08,2.178
2016-09,2.219
2016-10,2.249
2016-11,2.182
2016-12,2.254
2017-01,2.349
2017-02,2.304
2017-03,2.325
2017-04,2.417
2017-05,2.391
2017-06,2.347
2017-07,2.300
2017-08,2.380
2017-09,2.645
2017-10,2.505
2017-11,2.564
2017-12,2.477
2018-01,2.555
2018-02,2.587
2018-03,2.591
