DATE,Average Temperature (F)
2014-07-01,82
2014-07-02,81
2014-07-03,84
2014-07-04,81
2014-07-05,82
2014-07-06,79
2014-07-07,81
2014-07-08,82
2014-07-09,83
2014-07-10,82
2014-07-11,81
2014-07-12,76
2014-07-13,80
2014-07-14,83
2014-07-15,82
2014-07-16,81
2014-07-17,79
2014-07-18,79
2014-07-19,82
2014-07-20,83
2014-07-21,81
2014-07-22,81
2014-07-23,83
2014-07-24,83
2014-07-25,84
2014-07-26,83
2014-07-27,86
2014-07-28,87
2014-07-29,85
2014-07-30,81
2014-07-31,81
2014-8-01,84
2014-8-02,82
2014-8-03,81
2014-8-04,80
2014-8-05,83
2014-8-06,84
2014-8-07,85
2014-8-08,84
2014-8-09,84
2014-8-10,83
2014-8-11,82
2014-8-12,82
2014-8-13,80
2014-8-14,82
2014-8-15,81
2014-8-16,83
2014-8-17,83
2014-8-18,84
2014-8-19,84
2014-8-20,84
2014-8-21,85
2014-8-22,86
2014-8-23,87
2014-8-24,82
2014-8-25,80
2014-8-26,78
2014-8-27,77
2014-8-28,77
2014-8-29,80
2014-8-30,82
2014-8-31,82
2014-9-01,84
2014-9-02,83
2014-9-03,81
2014-9-04,79
2014-9-05,79
2014-9-06,80
2014-9-07,76
2014-9-08,80
2014-9-09,79
2014-9-10,80
2014-9-11,80
2014-9-12,81
2014-9-13,82
2014-9-14,82
2014-9-15,82
2014-9-16,77
2014-9-17,80
2014-9-18,81
2014-9-19,77
2014-9-20,73
2014-9-21,76
2014-9-22,76
2014-9-23,75
2014-9-24,68
2014-9-25,71
2014-9-26,74
2014-9-27,75
2014-9-28,80
2014-9-29,76
2014-9-30,74
2014-10-01,76
2014-10-02,78
2014-10-03,78
2014-10-04,68
2014-10-05,60
2014-10-06,64
2014-10-07,72
2014-10-08,76
2014-10-09,76
2014-10-10,76
2014-10-11,75
2014-10-12,74
2014-10-13,76
2014-10-14,79
2014-10-15,69
2014-10-16,66
2014-10-17,66
2014-10-18,69
2014-10-19,67
2014-10-20,69
2014-10-21,71
2014-10-22,63
2014-10-23,61
2014-10-24,61
2014-10-25,62
2014-10-26,65
2014-10-27,71
2014-10-28,70
2014-10-29,72
2014-10-30,70
2014-10-31,63
2014-11-01,50
2014-11-02,50
2014-11-03,52
2014-11-04,61
2014-11-05,67
2014-11-06,69
2014-11-07,55
2014-11-08,56
2014-11-09,62
2014-11-10,59
2014-11-11,66
2014-11-12,61
2014-11-13,64
2014-11-14,53
2014-11-15,50
2014-11-16,62
2014-11-17,67
2014-11-18,43
2014-11-19,40
2014-11-20,45
2014-11-21,51
2014-11-22,62
2014-11-23,73
2014-11-24,78
2014-11-25,66
2014-11-26,52
2014-11-27,51
2014-11-28,44
2014-11-29,51
2014-11-30,58
2014-12-01,63
2014-12-02,66
2014-12-03,66
2014-12-04,65
2014-12-05,63
2014-12-06,70
2014-12-07,59
2014-12-08,53
2014-12-09,50
2014-12-10,48
2014-12-11,47
2014-12-12,50
2014-12-13,50
2014-12-14,51
2014-12-15,52
2014-12-16,55
2014-12-17,53
2014-12-18,52
2014-12-19,56
2014-12-20,60
2014-12-21,57
2014-12-22,63
2014-12-23,68
2014-12-24,72
2014-12-25,53
2014-12-26,53
2014-12-27,62
2014-12-28,68
2014-12-29,69
2014-12-30,64
2014-12-31,53
2015-1-01,55
2015-1-02,53
2015-1-03,71
2015-1-04,72
2015-1-05,56
2015-1-06,56
2015-1-07,52
