date,Average Temperature (F)
2014-07-01,81
2014-07-02,82
2014-07-03,78
2014-07-04,70
2014-07-05,72
2014-07-06,75
2014-07-07,81
2014-07-08,81
2014-07-09,80
2014-07-10,78
2014-07-11,79
2014-07-12,78
2014-07-13,78
2014-07-14,78
2014-07-15,79
2014-07-16,75
2014-07-17,74
2014-07-18,73
2014-07-19,72
2014-07-20,72
2014-07-21,76
2014-07-22,79
2014-07-23,80
2014-07-24,75
2014-07-25,74
2014-07-26,75
2014-07-27,78
2014-07-28,75
2014-07-29,70
2014-07-30,72
2014-07-31,75
2014-08-01,78
2014-08-02,69
2014-08-03,71
2014-08-04,77
2014-08-05,81
2014-08-06,77
2014-08-07,75
2014-08-08,74
2014-08-09,77
2014-08-10,78
2014-08-11,79
2014-08-12,75
2014-08-13,75
2014-08-14,70
2014-08-15,67
2014-08-16,71
2014-08-17,74
2014-08-18,72
2014-08-19,73
2014-08-20,77
2014-08-21,74
2014-08-22,72
2014-08-23,72
2014-08-24,72
2014-08-25,76
2014-08-26,80
2014-08-27,80
2014-08-28,74
2014-08-29,71
2014-08-30,73
2014-08-31,82
2014-09-01,82
2014-09-02,85
2014-09-03,79
2014-09-04,78
2014-09-05,80
2014-09-06,79
2014-09-07,73
2014-09-08,70
2014-09-09,68
2014-09-10,72
2014-09-11,76
2014-09-12,70
2014-09-13,64
2014-09-14,62
2014-09-15,63
2014-09-16,64
2014-09-17,64
2014-09-18,67
2014-09-19,60
2014-09-20,66
2014-09-21,71
2014-09-22,63
2014-09-23,62
2014-09-24,65
2014-09-25,61
2014-09-26,68
2014-09-27,72
2014-09-28,74
2014-09-29,73
2014-09-30,67
2014-10-01,63
2014-10-02,66
2014-10-03,64
2014-10-04,61
2014-10-05,54
2014-10-06,60
2014-10-07,67
2014-10-08,68
2014-10-09,62
2014-10-10,58
2014-10-11,55
2014-10-12,56
2014-10-13,59
2014-10-14,70
2014-10-15,73
2014-10-16,66
2014-10-17,65
2014-10-18,63
2014-10-19,50
2014-10-20,51
2014-10-21,61
2014-10-22,54
2014-10-23,52
2014-10-24,57
2014-10-25,59
2014-10-26,58
2014-10-27,56
2014-10-28,63
2014-10-29,62
2014-10-30,53
2014-10-31,50
2014-11-01,45
2014-11-02,45
2014-11-03,50
2014-11-04,61
2014-11-05,60
2014-11-06,53
2014-11-07,47
2014-11-08,42
2014-11-09,52
2014-11-10,53
2014-11-11,57
2014-11-12,56
2014-11-13,42
2014-11-14,39
2014-11-15,38
2014-11-16,40
2014-11-17,46
2014-11-18,35
2014-11-19,29
2014-11-20,38
2014-11-21,33
2014-11-22,36
2014-11-23,50
2014-11-24,61
2014-11-25,60
2014-11-26,43
2014-11-27,36
2014-11-28,33
2014-11-29,36
2014-11-30,50
2014-12-01,54
2014-12-02,39
2014-12-03,44
2014-12-04,41
2014-12-05,39
2014-12-06,45
2014-12-07,36
2014-12-08,31
2014-12-09,39
2014-12-10,36
2014-12-11,35
2014-12-12,35
2014-12-13,39
2014-12-14,42
2014-12-15,43
2014-12-16,44
2014-12-17,48
2014-12-18,40
2014-12-19,35
2014-12-20,32
2014-12-21,34
2014-12-22,40
2014-12-23,45
2014-12-24,51
2014-12-25,53
2014-12-26,45
2014-12-27,50
2014-12-28,49
2014-12-29,39
2014-12-30,31
2014-12-31,30
2015-01-01,33
2015-01-02,39
2015-01-03,38
2015-01-04,49
2015-01-05,35
2015-01-06,21
2015-01-07,16
2015-01-08,15
2015-01-09,26
2015-01-10,20
2015-01-11,28
2015-01-12,37
2015-01-13,27
2015-01-14,24
2015-01-15,30
2015-01-16,32
2015-01-17,25
2015-01-18,37
2015-01-19,39
2015-01-20,36
2015-01-21,31
2015-01-22,36
2015-01-23,34
2015-01-24,36
2015-01-25,37
