DATE, meanTemp
2010-01-01,-99.9
2010-01-02,-99.9
2010-01-03,-99.9
2010-01-04,-99.9
2010-01-05,-99.9
2010-01-06,-99.9
2010-01-07,-99.9
2010-01-08,-99.9
2010-01-09,-99.9
2010-01-10,-99.9
2010-01-11,-99.9
2010-01-12,-99.9
2010-01-13,-99.9
2010-01-14,-99.9
2010-01-15,-99.9
2010-01-16,-99.9
2010-01-17,-99.9
2010-01-18,-99.9
2010-01-19,-99.9
2010-01-20,-99.9
2010-01-21,-99.9
2010-01-22,-99.9
2010-01-23,-99.9
2010-01-24,-99.9
2010-01-25,-99.9
2010-01-26,-99.9
2010-01-27,-99.9
2010-01-28,-99.9
2010-01-29,-99.9
2010-01-30,-99.9
2010-01-31,-99.9
2010-02-01,-99.9
2010-02-02,-99.9
2010-02-03,-99.9
2010-02-04,-99.9
2010-02-05,-99.9
2010-02-06,-99.9
2010-02-07,-99.9
2010-02-08,-99.9
2010-02-09,-99.9
2010-02-10,-99.9
2010-02-11,-99.9
2010-02-12,-99.9
2010-02-13,-99.9
2010-02-14,-99.9
2010-02-15,-99.9
2010-02-16,-99.9
2010-02-17,-99.9
2010-02-18,-99.9
2010-02-19,-99.9
2010-02-20,-99.9
2010-02-21,-99.9
2010-02-22,-99.9
2010-02-23,-99.9
2010-02-24,-99.9
2010-02-25,-99.9
2010-02-26,-99.9
2010-02-27,-99.9
2010-02-28,-99.9
2010-03-01,-99.9
2010-03-02,-99.9
2010-03-03,-99.9
2010-03-04,-99.9
2010-03-05,-99.9
2010-03-06,-99.9
2010-03-07,-99.9
2010-03-08,-99.9
2010-03-09,-99.9
2010-03-10,-99.9
2010-03-11,-99.9
2010-03-12,-99.9
2010-03-13,-99.9
2010-03-14,-99.9
2010-03-15,-99.9
2010-03-16,-99.9
2010-03-17,-99.9
2010-03-18,-99.9
2010-03-19,-99.9
2010-03-20,-99.9
2010-03-21,-99.9
2010-03-22,-99.9
2010-03-23,-99.9
2010-03-24,-99.9
2010-03-25,-99.9
2010-03-26,-99.9
2010-03-27,-99.9
2010-03-28,-99.9
2010-03-29,-99.9
2010-03-30,-99.9
2010-03-31,-99.9
2010-04-01,-99.9
2010-04-02,-99.9
2010-04-03,-99.9
2010-04-04,-99.9
2010-04-05,-99.9
2010-04-06,-99.9
2010-04-07,-99.9
2010-04-08,-99.9
2010-04-09,-99.9
2010-04-10,-99.9
2010-04-11,-99.9
2010-04-12,-99.9
2010-04-13,-99.9
2010-04-14,-99.9
2010-04-15,-99.9
2010-04-16,-99.9
2010-04-17,-99.9
2010-04-18,-99.9
2010-04-19,-99.9
2010-04-20,-99.9
2010-04-21,-99.9
2010-04-22,-99.9
2010-04-23,-99.9
2010-04-24,-99.9
2010-04-25,-99.9
2010-04-26,-99.9
2010-04-27,-99.9
2010-04-28,-99.9
2010-04-29,-99.9
2010-04-30,-99.9
2010-05-01,-99.9
2010-05-02,-99.9
2010-05-03,-99.9
2010-05-04,-99.9
2010-05-05,-99.9
2010-05-06,-99.9
2010-05-07,-99.9
2010-05-08,-99.9
2010-05-09,-99.9
2010-05-10,-99.9
2010-05-11,-99.9
2010-05-12,-99.9
2010-05-13,-99.9
2010-05-14,-99.9
2010-05-15,-99.9
2010-05-16,-99.9
2010-05-17,-99.9
2010-05-18,-99.9
2010-05-19,-99.9
2010-05-20,-99.9
2010-05-21,-99.9
2010-05-22,-99.9
2010-05-23,-99.9
2010-05-24,-99.9
2010-05-25,-99.9
2010-05-26,-99.9
2010-05-27,-99.9
2010-05-28,-99.9
2010-05-29,-99.9
2010-05-30,-99.9
2010-05-31,-99.9
2010-06-01,-99.9
2010-06-02,80.5
2010-06-03,80
2010-06-04,80
2010-06-05,80.5
2010-06-06,83
2010-06-07,84
2010-06-08,84.5
2010-06-09,83
2010-06-10,81.5
2010-06-11,77.5
2010-06-12,77.5
2010-06-13,81.5
2010-06-14,82.5
2010-06-15,82.5
2010-06-16,85.5
2010-06-17,84.5
2010-06-18,83.5
2010-06-19,83.5
2010-06-20,81
2010-06-21,81.5
2010-06-22,82
2010-06-23,86
2010-06-24,85
2010-06-25,83.5
2010-06-26,83
2010-06-27,83.5
2010-06-28,84
2010-06-29,85
2010-06-30,83
2010-07-01,83.5
2010-07-02,82.5
2010-07-03,82
2010-07-04,80.5
2010-07-05,81
2010-07-06,79
2010-07-07,78
2010-07-08,83
2010-07-09,79
2010-07-10,79
2010-07-11,84
2010-07-12,83
2010-07-13,85.5
2010-07-14,83.5
2010-07-15,83.5
2010-07-16,83.5
2010-07-17,85
2010-07-18,85
2010-07-19,86
2010-07-20,85
2010-07-21,85.5
2010-07-22,86
2010-07-23,84
2010-07-24,84.5
2010-07-25,83.5
2010-07-26,85
2010-07-27,83
2010-07-28,86
2010-07-29,84
2010-07-30,84.5
2010-07-31,86
2010-08-01,88.5
2010-08-02,86
2010-08-03,85.5
2010-08-04,83.5
2010-08-05,84
2010-08-06,81.5
2010-08-07,82.5
2010-08-08,86
2010-08-09,86
2010-08-10,81.5
2010-08-11,82
2010-08-12,81
2010-08-13,81.5
2010-08-14,84.5
2010-08-15,86
2010-08-16,86.5
2010-08-17,85
2010-08-18,83
2010-08-19,83.5
2010-08-20,84.5
2010-08-21,83.5
2010-08-22,83.5
2010-08-23,84
2010-08-24,81.5
2010-08-25,83.5
2010-08-26,82
2010-08-27,84
2010-08-28,81.5
2010-08-29,82
2010-08-30,83
2010-08-31,82
