DATE,Approval
2017-01-23,45
2017-01-24,45
2017-01-25,45.59516
2017-01-26,43.21775
2017-01-27,43.08089
2017-01-28,42.51997
2017-01-29,42.42076
2017-01-30,42.51344
2017-01-31,43.67982
2017-02-01,43.7891
2017-02-02,43.76831
2017-02-03,42.87061
2017-02-04,42.93061
2017-02-05,42.7303
2017-02-06,42.62589
2017-02-07,42.58524
2017-02-08,42.46727
2017-02-09,42.45341
2017-02-10,42.33272
2017-02-11,42.17884
2017-02-12,41.98624
2017-02-13,41.11952
2017-02-14,41.01787
2017-02-15,41.3626
2017-02-16,41.26061
2017-02-17,40.93276
2017-02-18,41.14259
2017-02-19,41.1262
2017-02-20,41.1068
2017-02-21,41.4049
2017-02-22,40.99014
2017-02-23,42.08851
2017-02-24,42.13914
2017-02-25,41.93456
2017-02-26,41.86868
2017-02-27,41.93449
2017-02-28,41.92185
2017-03-01,42.93229
2017-03-02,42.74433
2017-03-03,42.9674
2017-03-04,42.9674
2017-03-05,43.00411
2017-03-06,43.51528
2017-03-07,43.68052
2017-03-08,43.52806
2017-03-09,43.41724
2017-03-10,43.9422
2017-03-11,44.2165
2017-03-12,44.32833
2017-03-13,44.10419
2017-03-14,43.82244
2017-03-15,43.43536
2017-03-16,43.24698
2017-03-17,42.80822
2017-03-18,41.87791
2017-03-19,41.53395
2017-03-20,41.57674
2017-03-21,41.38521
2017-03-22,41.60312
2017-03-23,41.48011
2017-03-24,41.54422
2017-03-25,41.53386
2017-03-26,41.43587
2017-03-27,41.03792
2017-03-28,40.6702
2017-03-29,40.54865
2017-03-30,40.11081
2017-03-31,40.448
2017-04-01,40.55445
2017-04-02,40.39359
2017-04-03,39.61414
2017-04-04,40.50948
2017-04-05,40.98213
2017-04-06,40.51774
2017-04-07,40.42915
2017-04-08,40.44548
2017-04-09,40.46673
2017-04-10,41.15395
2017-04-11,41.84169
2017-04-12,41.62653
2017-04-13,41.22889
2017-04-14,41.0928
2017-04-15,41.01736
2017-04-16,41.17042
2017-04-17,41.29482
2017-04-18,41.32755
2017-04-19,41.10365
2017-04-20,40.81158
2017-04-21,40.72075
2017-04-22,40.71088
2017-04-23,40.62176
2017-04-24,40.60334
2017-04-25,40.30374
2017-04-26,40.71889
2017-04-27,41.19462
2017-04-28,40.96248
2017-04-29,41.04478
2017-04-30,41.0427
2017-05-01,40.90617
2017-05-02,41.01395
2017-05-03,41.48521
2017-05-04,41.48521
2017-05-05,41.49231
2017-05-06,41.32185
2017-05-07,41.26906
2017-05-08,41.42287
2017-05-09,41.14016
2017-05-10,41.02212
2017-05-11,40.85036
2017-05-12,40.99252
2017-05-13,40.91915
2017-05-14,40.29266
2017-05-15,40.18683
2017-05-16,39.56028
2017-05-17,39.36876
2017-05-18,39.05318
2017-05-19,38.32204
2017-05-20,38.23556
2017-05-21,38.28256
2017-05-22,38.26906
2017-05-23,38.31108
2017-05-24,37.85646
2017-05-25,37.89192
2017-05-26,38.20471
2017-05-27,38.26954
2017-05-28,38.41018
2017-05-29,38.48822
2017-05-30,38.39928
2017-05-31,38.32364
2017-06-01,38.32013
2017-06-02,38.31442
2017-06-03,38.15836
2017-06-04,38.04909
2017-06-05,38.07709
2017-06-06,37.5394
2017-06-07,37.62785
2017-06-08,37.59521
2017-06-09,37.27892
2017-06-10,37.4267
2017-06-11,37.39389
2017-06-12,37.24044
2017-06-13,37.42384
2017-06-14,37.58538
2017-06-15,38.17562
2017-06-16,38.13759
2017-06-17,38.22923
2017-06-18,38.2633
2017-06-19,38.20811
2017-06-20,38.05501
2017-06-21,37.71882
2017-06-22,38.19526
2017-06-23,38.85541
2017-06-24,38.69684
2017-06-25,38.60531
2017-06-26,38.38256
2017-06-27,37.48801
2017-06-28,37.54221
2017-06-29,37.67141
2017-06-30,37.43984
2017-07-01,37.45395
2017-07-02,37.37842
