DATE,PERCENT
1948-04,3.5
1948-05,3.3
1948-06,3.2
1948-07,3.1
1948-08,3.4
1948-09,3.4
1948-10,3.4
1948-11,3.4
1948-12,3.6
1949-01,3.8
1949-02,4.2
1949-03,4.4
1949-04,4.7
1949-05,5.5
1949-06,5.6
1949-07,6.2
1949-08,6.2
1949-09,6
1949-10,7.3
1949-11,5.9
1949-12,5.9
1950-01,5.9
1950-02,5.7
1950-03,5.7
1950-04,5.3
1950-05,5
1950-06,4.9
1950-07,4.6
1950-08,4
1950-09,4
1950-10,3.7
1950-11,3.8
1950-12,3.8
1951-01,3.4
1951-02,3.1
1951-03,3
1951-04,2.8
1951-05,2.7
1951-06,2.9
1951-07,2.7
1951-08,2.8
1951-09,3
1951-10,3.2
1951-11,3.1
1951-12,2.8
1952-01,2.7
1952-02,2.8
1952-03,2.6
1952-04,2.6
1952-05,2.6
1952-06,2.6
1952-07,2.8
1952-08,3
1952-09,2.7
1952-10,2.6
1952-11,2.4
1952-12,2.3
1953-01,2.6
1953-02,2.3
1953-03,2.3
1953-04,2.4
1953-05,2.3
1953-06,2.2
1953-07,2.3
1953-08,2.3
1953-09,2.6
1953-10,2.7
1953-11,3.2
1953-12,4
1954-01,4.4
1954-02,4.6
1954-03,5.1
1954-04,5.3
1954-05,5.4
1954-06,5.3
1954-07,5.3
1954-08,5.5
1954-09,5.6
1954-10,5.3
1954-11,4.9
1954-12,4.6
1955-01,4.5
1955-02,4.2
1955-03,4.2
1955-04,4.3
1955-05,3.8
1955-06,3.8
1955-07,3.6
1955-08,3.8
1955-09,3.6
1955-10,3.8
1955-11,3.7
1955-12,3.7
1956-01,3.6
1956-02,3.4
1956-03,3.7
1956-04,3.5
1956-05,3.8
1956-06,3.8
1956-07,3.9
1956-08,3.6
1956-09,3.5
1956-10,3.4
1956-11,3.7
1956-12,3.8
1957-01,3.7
1957-02,3.5
1957-03,3.2
1957-04,3.4
1957-05,3.6
1957-06,3.7
1957-07,3.6
1957-08,3.6
1957-09,3.9
1957-10,4.1
1957-11,4.6
1957-12,4.6
1958-01,5.2
1958-02,5.9
1958-03,6.1
1958-04,6.8
1958-05,6.8
1958-06,6.8
1958-07,6.8
1958-08,6.8
1958-09,6.3
1958-10,6.1
1958-11,5.5
1958-12,5.6
1959-01,5.4
1959-02,5.4
1959-03,5
1959-04,4.5
1959-05,4.5
1959-06,4.4
1959-07,4.5
1959-08,4.5
1959-09,4.8
1959-10,5
1959-11,5.2
1959-12,4.6
1960-01,4.6
1960-02,4.2
1960-03,4.7
1960-04,4.5
1960-05,4.5
1960-06,4.7
1960-07,4.9
1960-08,4.9
1960-09,4.9
1960-10,5.3
1960-11,5.5
1960-12,5.8
1961-01,5.8
1961-02,6.1
1961-03,6.1
1961-04,6.3
1961-05,6.5
1961-06,6.2
1961-07,6.2
1961-08,5.8
1961-09,5.8
1961-10,5.7
1961-11,5.3
1961-12,5.3
1962-01,5
1962-02,4.7
1962-03,4.8
1962-04,4.8
1962-05,4.8
1962-06,4.8
1962-07,4.8
1962-08,5
1962-09,4.9
1962-10,4.7
1962-11,4.9
1962-12,4.9
1963-01,5
1963-02,5.1
1963-03,4.8
1963-04,4.8
1963-05,4.9
1963-06,4.7
1963-07,4.7
1963-08,4.6
1963-09,4.5
1963-10,4.6
1963-11,4.8
1963-12,4.7
1964-01,4.7
1964-02,4.6
1964-03,4.6
1964-04,4.4
1964-05,4.2
1964-06,4.3
1964-07,4.2
1964-08,4.1
1964-09,4.2
1964-10,4.2
1964-11,4
1964-12,4
1965-01,3.9
1965-02,4.1
1965-03,3.8
1965-04,3.9
1965-05,3.7
1965-06,3.7
1965-07,3.5
1965-08,3.5
1965-09,3.4
1965-10,3.3
1965-11,3.3
1965-12,3.2
1966-01,3.1
1966-02,3
1966-03,3
1966-04,2.9
1966-05,3
1966-06,2.9
1966-07,2.9
1966-08,3
1966-09,2.8
1966-10,2.8
1966-11,2.8
1966-12,3
1967-01,3.1
1967-02,3
1967-03,3.1
1967-04,3
1967-05,3
1967-06,3
1967-07,2.9
1967-08,2.9
1967-09,3
1967-10,3.1
1967-11,3
1967-12,3
1968-01,3
1968-02,3
1968-03,2.9
1968-04,2.7
1968-05,2.6
1968-06,2.8
1968-07,2.7
1968-08,2.7
1968-09,2.6
1968-10,2.6
1968-11,2.6
1968-12,2.5
1969-01,2.6
1969-02,2.6
1969-03,2.6
1969-04,2.6
1969-05,2.6
1969-06,2.7
1969-07,2.7
1969-08,2.7
1969-09,2.9
1969-10,2.9
1969-11,2.7
1969-12,2.7
1970-01,3
1970-02,3.3
1970-03,3.5
1970-04,3.6
1970-05,3.8
1970-06,3.9
1970-07,4.1
1970-08,4.1
1970-09,4.3
1970-10,4.4
1970-11,4.8
1970-12,5
1971-01,4.9
1971-02,4.9
1971-03,4.9
1971-04,4.9
1971-05,4.9
1971-06,4.8
1971-07,4.8
1971-08,5
1971-09,4.9
1971-10,4.8
1971-11,5
1971-12,4.9
1972-01,4.7
1972-02,4.5
1972-03,4.7
1972-04,4.6
1972-05,4.7
1972-06,4.6
1972-07,4.6
1972-08,4.5
1972-09,4.5
1972-10,4.5
1972-11,4.2
1972-12,4.1
1973-01,4.1
1973-02,4
1973-03,4
1973-04,3.9
1973-05,3.8
1973-06,3.9
1973-07,3.8
1973-08,3.9
1973-09,3.8
1973-10,3.5
1973-11,3.8
1973-12,3.9
1974-01,4.1
1974-02,4.1
1974-03,4
1974-04,4.1
1974-05,4
1974-06,4.2
1974-07,4.3
1974-08,4.5
1974-09,4.7
1974-10,4.8
1974-11,5.4
1974-12,6
1975-01,6.8
1975-02,6.9
1975-03,7.4
1975-04,7.6
1975-05,7.8
1975-06,7.5
1975-07,7.4
1975-08,7.1
1975-09,7.3
1975-10,7.2
1975-11,7.2
1975-12,7
1976-01,6.7
1976-02,6.5
1976-03,6.4
1976-04,6.4
1976-05,6.2
1976-06,6.5
1976-07,6.6
1976-08,6.5
1976-09,6.5
1976-10,6.5
1976-11,6.7
1976-12,6.6
1977-01,6.3
1977-02,6.5
1977-03,6.3
1977-04,6
1977-05,5.9
1977-06,6
1977-07,5.8
1977-08,5.9
1977-09,5.6
1977-10,5.7
1977-11,5.7
1977-12,5.4
1978-01,5.4
1978-02,5.1
1978-03,5.1
1978-04,5
1978-05,5
1978-06,4.9
1978-07,5.1
1978-08,4.9
1978-09,4.9
1978-10,4.7
1978-11,4.8
1978-12,4.9
1979-01,4.8
1979-02,4.9
1979-03,4.8
1979-04,4.8
1979-05,4.6
1979-06,4.7
1979-07,4.7
1979-08,5
1979-09,4.8
1979-10,4.9
1979-11,4.9
1979-12,4.9
1980-01,5.3
1980-02,5.3
1980-03,5.3
1980-04,6
1980-05,6.4
1980-06,6.5
1980-07,6.7
1980-08,6.7
1980-09,6.5
1980-10,6.5
1980-11,6.4
1980-12,6.2
1981-01,6.4
1981-02,6.3
1981-03,6.3
1981-04,6.1
1981-05,6.4
1981-06,6.4
1981-07,6.2
1981-08,6.4
1981-09,6.5
1981-10,6.8
1981-11,7.1
1981-12,7.4
1982-01,7.5
1982-02,7.7
1982-03,7.9
1982-04,8.2
1982-05,8.2
1982-06,8.5
1982-07,8.7
1982-08,8.7
1982-09,9
1982-10,9.3
1982-11,9.6
1982-12,9.8
1983-01,9.4
1983-02,9.5
1983-03,9.3
1983-04,9.1
1983-05,9.1
1983-06,8.9
1983-07,8.4
1983-08,8.4
1983-09,8.2
1983-10,7.9
1983-11,7.6
1983-12,7.4
1984-01,7.2
1984-02,6.9
1984-03,6.9
1984-04,6.9
1984-05,6.6
1984-06,6.4
1984-07,6.6
1984-08,6.7
1984-09,6.5
1984-10,6.5
1984-11,6.4
1984-12,6.4
1985-01,6.5
1985-02,6.4
1985-03,6.4
1985-04,6.5
1985-05,6.4
1985-06,6.6
1985-07,6.4
1985-08,6.3
1985-09,6.3
1985-10,6.2
1985-11,6.2
1985-12,6.1
1986-01,5.9
1986-02,6.3
1986-03,6.3
1986-04,6.2
1986-05,6.3
1986-06,6.3
1986-07,6.2
1986-08,6.1
1986-09,6.2
1986-10,6.2
1986-11,6.1
1986-12,5.9
1987-01,5.9
1987-02,5.8
1987-03,5.8
1987-04,5.5
1987-05,5.5
1987-06,5.5
1987-07,5.4
1987-08,5.3
1987-09,5.2
1987-10,5.2
1987-11,5.1
1987-12,5
1988-01,5
1988-02,5
1988-03,4.9
1988-04,4.7
1988-05,4.9
1988-06,4.8
1988-07,4.8
1988-08,4.9
1988-09,4.7
1988-10,4.7
1988-11,4.7
1988-12,4.7
1989-01,4.7
1989-02,4.5
1989-03,4.4
1989-04,4.6
1989-05,4.5
1989-06,4.6
1989-07,4.6
1989-08,4.6
1989-09,4.6
1989-10,4.7
1989-11,4.7
1989-12,4.7
1990-01,4.7
1990-02,4.6
1990-03,4.6
1990-04,4.8
1990-05,4.7
1990-06,4.7
1990-07,4.9
1990-08,5
1990-09,5.2
1990-10,5.2
1990-11,5.5
1990-12,5.6
1991-01,5.6
1991-02,5.9
1991-03,6.1
1991-04,6
1991-05,6.2
1991-06,6.2
1991-07,6.1
1991-08,6.2
1991-09,6.2
1991-10,6.3
1991-11,6.3
1991-12,6.5
1992-01,6.6
1992-02,6.7
1992-03,6.7
1992-04,6.7
1992-05,6.9
1992-06,6.9
1992-07,6.9
1992-08,6.9
1992-09,6.8
1992-10,6.7
1992-11,6.7
1992-12,6.7
1993-01,6.5
1993-02,6.4
1993-03,6.3
1993-04,6.4
1993-05,6.3
1993-06,6.3
1993-07,6.2
1993-08,6.1
1993-09,6.1
1993-10,6.1
1993-11,5.9
1993-12,5.9
1994-01,5.9
1994-02,5.9
1994-03,5.8
1994-04,5.6
1994-05,5.3
1994-06,5.4
1994-07,5.4
1994-08,5.4
1994-09,5.2
1994-10,5.1
1994-11,5
1994-12,4.8
1995-01,4.9
1995-02,4.7
1995-03,4.7
1995-04,5
1995-05,4.9
1995-06,4.9
1995-07,4.9
1995-08,4.9
1995-09,4.9
1995-10,4.8
1995-11,4.9
1995-12,4.8
1996-01,4.9
1996-02,4.8
1996-03,4.8
1996-04,4.8
1996-05,4.9
1996-06,4.6
1996-07,4.7
1996-08,4.4
1996-09,4.5
1996-10,4.5
1996-11,4.7
1996-12,4.7
1997-01,4.6
1997-02,4.5
1997-03,4.5
1997-04,4.4
1997-05,4.2
1997-06,4.3
1997-07,4.1
1997-08,4.1
1997-09,4.2
1997-10,4.1
1997-11,4
1997-12,4.2
1998-01,4.1
1998-02,4
1998-03,4
1998-04,3.8
1998-05,3.7
1998-06,3.9
1998-07,3.9
1998-08,3.8
1998-09,3.9
1998-10,3.8
1998-11,3.8
1998-12,3.8
1999-01,3.6
1999-02,3.8
1999-03,3.5
1999-04,3.7
1999-05,3.6
1999-06,3.7
1999-07,3.7
1999-08,3.6
1999-09,3.6
1999-10,3.5
1999-11,3.5
1999-12,3.4
2000-01,3.5
2000-02,3.5
2000-03,3.4
2000-04,3.3
2000-05,3.5
2000-06,3.4
2000-07,3.5
2000-08,3.5
2000-09,3.4
2000-10,3.3
2000-11,3.4
2000-12,3.4
2001-01,3.6
2001-02,3.7
2001-03,3.7
2001-04,3.8
2001-05,3.8
2001-06,4
2001-07,4
2001-08,4.3
2001-09,4.4
2001-10,4.7
2001-11,4.9
2001-12,5.1
2002-01,5.1
2002-02,5.1
2002-03,5.1
2002-04,5.3
2002-05,5.2
2002-06,5.2
2002-07,5.2
2002-08,5.1
2002-09,5.1
2002-10,5.2
2002-11,5.3
2002-12,5.4
2003-01,5.2
2003-02,5.3
2003-03,5.3
2003-04,5.4
2003-05,5.5
2003-06,5.6
2003-07,5.5
2003-08,5.5
2003-09,5.5
2003-10,5.4
2003-11,5.3
2003-12,5.1
2004-01,5.1
2004-02,5
2004-03,5.2
2004-04,5
2004-05,5
2004-06,5.1
2004-07,4.9
2004-08,4.8
2004-09,4.8
2004-10,4.8
2004-11,4.8
2004-12,4.7
2005-01,4.7
2005-02,4.8
2005-03,4.6
2005-04,4.5
2005-05,4.5
2005-06,4.5
2005-07,4.4
2005-08,4.3
2005-09,4.5
2005-10,4.4
2005-11,4.4
2005-12,4.3
2006-01,4.2
2006-02,4.2
