DATE,PERCENT
1992-01,3.2
1992-02,3.3
1992-03,2.9
1992-04,2.9
1992-05,2.9
1992-06,3.3
1992-07,3.3
1992-08,3.4
1992-09,3.4
1992-10,3.2
1992-11,3.2
1992-12,2.9
1993-01,3.3
1993-02,3.2
1993-03,3.1
1993-04,2.9
1993-05,2.7
1993-06,3.1
1993-07,3
1993-08,3
1993-09,3
1993-10,2.8
1993-11,2.6
1993-12,2.6
1994-01,3
1994-02,2.8
1994-03,2.8
1994-04,2.3
1994-05,2.3
1994-06,2.7
1994-07,2.9
1994-08,3.1
1994-09,2.7
1994-10,2.3
1994-11,2.1
1994-12,2
1995-01,2.5
1995-02,2.3
1995-03,2.5
1995-04,2.4
1995-05,2.3
1995-06,2.7
1995-07,2.7
1995-08,3.1
1995-09,2.5
1995-10,2.2
1995-11,2.1
1995-12,2.1
1996-01,2.5
1996-02,2.3
1996-03,2.2
1996-04,2.1
1996-05,2.2
1996-06,2.3
1996-07,2.5
1996-08,2.6
1996-09,2.3
1996-10,2
1996-11,2.1
1996-12,2
1997-01,2.2
1997-02,2.1
1997-03,2
1997-04,1.7
1997-05,2
1997-06,2.2
1997-07,2.3
1997-08,2.6
1997-09,2.2
1997-10,1.8
1997-11,1.6
1997-12,1.6
1998-01,2
1998-02,1.9
1998-03,1.8
1998-04,1.5
1998-05,1.6
1998-06,1.8
1998-07,1.9
1998-08,2.2
1998-09,1.7
1998-10,1.8
1998-11,1.7
1998-12,1.6
1999-01,1.9
1999-02,1.9
1999-03,1.8
1999-04,1.8
1999-05,1.7
1999-06,2.1
1999-07,2
1999-08,1.9
1999-09,1.7
1999-10,1.6
1999-11,1.6
1999-12,1.6
2000-01,1.9
2000-02,1.7
2000-03,1.6
2000-04,1.4
2000-05,1.5
2000-06,1.7
2000-07,1.9
2000-08,2.2
2000-09,1.9
2000-10,1.5
2000-11,1.4
2000-12,1.4
2001-01,1.7
2001-02,1.6
2001-03,1.9
2001-04,2
2001-05,1.9
2001-06,2.3
2001-07,2.4
2001-08,2.7
2001-09,2.5
2001-10,2.5
2001-11,2.7
2001-12,2.8
2002-01,3
2002-02,2.9
2002-03,2.7
2002-04,2.7
2002-05,2.7
2002-06,3.1
2002-07,3.2
2002-08,3.2
2002-09,3
2002-10,2.9
2002-11,2.8
2002-12,2.7
2003-01,3.2
2003-02,3
2003-03,2.9
2003-04,2.9
2003-05,2.8
2003-06,3.2
2003-07,3.4
2003-08,3.6
2003-09,3.3
2003-10,3
2003-11,2.9
2003-12,2.8
2004-01,3.1
2004-02,2.9
2004-03,2.8
2004-04,2.7
2004-05,2.7
2004-06,2.8
2004-07,2.9
2004-08,3
2004-09,2.6
2004-10,2.4
2004-11,2.4
2004-12,2.3
2005-01,2.5
2005-02,2.4
2005-03,2.3
2005-04,2.3
2005-05,2.3
2005-06,2.3
2005-07,2.6
2005-08,2.4
2005-09,2.4
2005-10,2.2
2005-11,2.1
2005-12,2
2006-01,2.2
2006-02,2.2
2006-03,2.2
2006-04,2.1
2006-05,2
2006-06,2.1
2006-07,2.3
2006-08,2
2006-09,2.1
2006-10,1.8
2006-11,1.7
2006-12,1.7
2007-01,2.2
2007-02,1.9
2007-03,1.8
2007-04,1.7
2007-05,1.9
2007-06,2
2007-07,2.4
2007-08,2.3
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,2.2
2008-02,2.1
2008-03,2
2008-04,2
2008-05,2.1
2008-06,2.4
2008-07,2.8
2008-08,3.1
2008-09,2.6
2008-10,3
2008-11,3
2008-12,3.5
2009-01,4.1
2009-02,4.2
2009-03,4.3
2009-04,4
2009-05,4.6
2009-06,4.8
2009-07,5.3
2009-08,5.2
2009-09,5
2009-10,4.6
2009-11,4.6
2009-12,4.7
2010-01,5.1
2010-02,5
2010-03,4.7
2010-04,4.4
2010-05,4.4
2010-06,4.5
2010-07,5
2010-08,5
2010-09,4.5
2010-10,4.5
2010-11,4.8
2010-12,4.6
2011-01,4.5
2011-02,4.4
2011-03,4.3
2011-04,4.1
2011-05,4.3
2011-06,4.4
2011-07,4.7
2011-08,4.6
2011-09,4.2
2011-10,4.2
2011-11,4.2
2011-12,4
2012-01,4.4
2012-02,4.3
2012-03,4.1
2012-04,3.7
2012-05,3.7
2012-06,4.1
2012-07,4.5
2012-08,4.5
2012-09,4
2012-10,3.6
2012-11,3.7
2012-12,3.8
2013-01,3.9
2013-02,3.9
2013-03,3.7
2013-04,3.6
2013-05,3.6
2013-06,3.9
2013-07,4.2
2013-08,3.8
2013-09,3.7
2013-10,3.7
2013-11,3.2
2013-12,3.1
2014-01,3.3
2014-02,3.4
2014-03,3.4
2014-04,3
2014-05,3
2014-06,3.4
2014-07,3.5
2014-08,3.6
2014-09,2.9
2014-10,2.9
2014-11,3
2014-12,2.7
2015-01,2.9
2015-02,2.7
2015-03,2.4
2015-04,2.5
2015-05,2.6
2015-06,2.6
2015-07,2.8
2015-08,2.7
2015-09,2.5
2015-10,2.5
2015-11,2.4
2015-12,2.3
2016-01,2.6
2016-02,2.5
2016-03,2.6
2016-04,2.3
2016-05,2.2
2016-06,2.6
2016-07,2.8
2016-08,3
2016-09,2.5
2016-10,2.5
2016-11,2.2
2016-12,2.3
2017-01,2.5
2017-02,2.4
2017-03,2.4
2017-04,2.3
2017-05,2.1
2017-06,2.4
2017-07,2.6
2017-08,2.7
2017-09,2.2
2017-10,2
2017-11,1.9
2017-12,2
2018-01,2.2
2018-02,2.2
