DATE,WILL4500PR
2012-10-31,700.21
2012-11-01,711.31
2012-11-02,702.09
2012-11-05,705.16
2012-11-06,710.62
2012-11-07,694.94
2012-11-08,686.12
2012-11-09,687.08
2012-11-12,686.40
2012-11-13,683.19
2012-11-14,670.29
2012-11-15,667.46
2012-11-16,673.42
2012-11-19,686.19
2012-11-20,687.78
2012-11-21,691.16
2012-11-22,.
2012-11-23,698.83
2012-11-26,699.09
2012-11-27,697.77
2012-11-28,702.11
2012-11-29,708.33
2012-11-30,709.04
2012-12-03,707.05
2012-12-04,707.02
2012-12-05,707.20
2012-12-06,709.07
2012-12-07,710.28
2012-12-10,713.25
2012-12-11,718.17
2012-12-12,716.20
2012-12-13,711.80
2012-12-14,710.53
2012-12-17,718.00
2012-12-18,727.74
2012-12-19,727.49
2012-12-20,731.27
2012-12-21,725.83
2012-12-24,724.16
2012-12-25,.
2012-12-26,718.85
2012-12-27,718.15
2012-12-28,713.46
2012-12-31,726.47
2013-01-01,.
2013-01-02,745.54
2013-01-03,746.41
2013-01-04,752.61
2013-01-07,750.73
2013-01-08,749.63
2013-01-09,754.24
2013-01-10,756.13
2013-01-11,756.39
2013-01-14,756.72
2013-01-15,760.29
2013-01-16,758.01
2013-01-17,763.92
2013-01-18,765.42
2013-01-21,.
2013-01-22,771.13
2013-01-23,770.22
2013-01-24,773.13
2013-01-25,779.22
2013-01-28,779.07
2013-01-29,778.34
2013-01-30,772.88
2013-01-31,776.00
2013-02-01,782.96
2013-02-04,774.13
2013-02-05,781.31
2013-02-06,784.47
2013-02-07,782.23
2013-02-08,787.69
2013-02-11,786.64
2013-02-12,788.96
2013-02-13,790.85
2013-02-14,792.43
2013-02-15,791.58
2013-02-18,.
2013-02-19,797.22
2013-02-20,783.14
2013-02-21,775.01
2013-02-22,783.37
2013-02-25,768.71
2013-02-26,772.74
2013-02-27,782.31
2013-02-28,783.05
2013-03-01,783.68
2013-03-04,786.67
2013-03-05,795.39
2013-03-06,797.29
2013-03-07,800.68
2013-03-08,806.89
2013-03-11,808.01
2013-03-12,806.34
2013-03-13,808.89
2013-03-14,815.14
2013-03-15,813.63
2013-03-18,809.95
2013-03-19,806.80
2013-03-20,814.60
2013-03-21,808.04
2013-03-22,810.42
2013-03-25,808.81
2013-03-26,813.15
2013-03-27,814.32
2013-03-28,817.70
2013-03-29,.
2013-04-01,809.42
2013-04-02,806.14
2013-04-03,793.94
2013-04-04,798.77
2013-04-05,797.57
2013-04-08,804.31
2013-04-09,804.19
2013-04-10,815.88
2013-04-11,818.72
2013-04-12,815.81
2013-04-15,788.53
2013-04-16,801.88
2013-04-17,788.92
2013-04-18,783.90
2013-04-19,793.88
2013-04-22,796.34
2013-04-23,806.88
2013-04-24,810.04
2013-04-25,815.22
2013-04-26,812.08
2013-04-29,817.93
2013-04-30,823.52
2013-05-01,809.14
2013-05-02,818.77
2013-05-03,827.83
2013-05-06,832.15
2013-05-07,837.86
2013-05-08,841.67
2013-05-09,837.93
2013-05-10,843.82
2013-05-13,842.88
2013-05-14,852.65
2013-05-15,855.76
2013-05-16,851.27
2013-05-17,859.52
2013-05-20,860.27
2013-05-21,861.53
2013-05-22,847.70
2013-05-23,847.64
2013-05-24,846.22
2013-05-27,.
2013-05-28,853.99
2013-05-29,845.31
2013-05-30,850.69
2013-05-31,842.33
2013-06-03,842.89
2013-06-04,836.87
2013-06-05,824.85
2013-06-06,834.68
2013-06-07,842.89
2013-06-10,844.77
2013-06-11,835.11
2013-06-12,827.13
2013-06-13,841.43
2013-06-14,837.57
2013-06-17,842.19
2013-06-18,849.99
2013-06-19,838.80
2013-06-20,816.77
2013-06-21,816.45
2013-06-24,806.22
2013-06-25,815.85
2013-06-26,821.25
2013-06-27,833.74
2013-06-28,832.64
2013-07-01,842.64
2013-07-02,841.59
2013-07-03,842.18
2013-07-04,.
2013-07-05,852.43
2013-07-08,855.11
2013-07-09,863.01
2013-07-10,864.42
2013-07-11,876.02
2013-07-12,879.33
2013-07-15,883.18
2013-07-16,877.88
2013-07-17,881.79
2013-07-18,888.50
2013-07-19,888.59
2013-07-22,891.68
2013-07-23,890.83
2013-07-24,884.73
2013-07-25,892.91
2013-07-26,890.10
2013-07-29,885.81
2013-07-30,889.29
2013-07-31,891.21
2013-08-01,905.99
2013-08-02,906.70
2013-08-05,907.71
2013-08-06,897.95
2013-08-07,892.05
2013-08-08,897.13
2013-08-09,897.18
2013-08-12,898.94
2013-08-13,896.51
2013-08-14,891.70
2013-08-15,876.48
2013-08-16,873.70
2013-08-19,866.25
2013-08-20,877.32
2013-08-21,872.42
2013-08-22,883.08
2013-08-23,886.24
2013-08-26,886.80
2013-08-27,867.56
2013-08-28,869.93
2013-08-29,876.19
2013-08-30,865.91
2013-09-02,.
2013-09-03,869.44
2013-09-04,877.41
2013-09-05,880.19
2013-09-06,881.99
2013-09-09,895.19
2013-09-10,903.26
2013-09-11,904.46
2013-09-12,899.99
2013-09-13,902.99
2013-09-16,906.00
2013-09-17,913.86
2013-09-18,922.88
2013-09-19,922.27
2013-09-20,916.96
2013-09-23,913.79
2013-09-24,916.11
2013-09-25,916.96
2013-09-26,921.80
2013-09-27,918.52
2013-09-30,917.10
2013-10-01,929.43
2013-10-02,927.10
2013-10-03,918.04
2013-10-04,925.06
2013-10-07,915.27
2013-10-08,898.95
2013-10-09,894.73
2013-10-10,915.80
